"id","object","class","dim","columns","bytes","sha256","source","eh_id","zenodo_doi"
"coefLevine","coefLevine","data.frame","514x9","CpGmarker|Chromosome|Map.Info|Gene.Symbol|Entrez.ID|CoefficientTraining|Univariate.Age.Correlation|Horvath.Overlap|Hannum.Overlap",16580,"978aa7ac2be8323f8a3b4ffe3ce2240cd932ca1f32dc74a32961362d5af02b4a","git:isglobal-brge/methylclock@main:data/","EH6074",NA
"coefMayneGA","coefMayneGA","data.frame","63x6","CpGmarker|CoefficientTraining|Gene|Chromosome|Position|Correlation.with.GA",2268,"369e4b46ad86b4d9aea166ec48d8d6abfc1b63f94ae2f873c67c582c3a344146","git:isglobal-brge/methylclock@main:data/","EH6075",NA
"coefNEOaPMA450K","coefNEOaPMA450K","data.frame","410x2","CpGmarker|CoefficientTraining",5208,"ebaebd2e379f45433454a4448e80d6407bbc9f5a5428fd27471a76dc54a28660","git:isglobal-brge/methylclock@main:data/","EH10462","10.5281/zenodo.21840402"
"coefNEOaPMAEPIC","coefNEOaPMAEPIC","data.frame","523x2","CpGmarker|CoefficientTraining",6508,"6e58d79caf2fbf86e3d5b06ece81c3a36c2e9fccb96b6a6469fa32b7c7e5a06a","git:isglobal-brge/methylclock@main:data/","EH10463","10.5281/zenodo.21840402"
"coefNEOaPNA450K","coefNEOaPNA450K","data.frame","304x2","CpGmarker|CoefficientTraining",3976,"b9b1f1e7a26e8f93ebc4e35ef2d6bf3126fce9c7db08d6d20932880c92874f11","git:isglobal-brge/methylclock@main:data/","EH10464","10.5281/zenodo.21840402"
"coefNEOaPNAEPIC","coefNEOaPNAEPIC","data.frame","510x2","CpGmarker|CoefficientTraining",6364,"e8b1382fea966fe6d896d82ee8980d156a1e60fce0d75c96743f7fbc8ddf125d","git:isglobal-brge/methylclock@main:data/","EH10465","10.5281/zenodo.21840402"
"coefPedBE","coefPedBE","data.frame","95x4","CpGmarker|CoefficientTraining|corAgeTraining|corAgeTest",2848,"0b6db7f361ce8b6d807170ff76af498676bc8103046f0bcc4c5bfd6b27718d25","git:isglobal-brge/methylclock@main:data/","EH6076",NA
"coefSkin","coefSkin","data.frame","392x2","CpGmarker|CoefficientTraining",4936,"1d076256cad0865ac07e489de9f8316d8df6283a44996ca343fb1bfbb07795a2","git:isglobal-brge/methylclock@main:data/","EH6077",NA
"coefTL","coefTL","data.frame","141x22","CpGmarker|CoefficientTraining|CHR|bp19|SourceSeq|Strand|Probe.SNP.based.on.Illumina.annotation|Gene|location|Relation.to..CpGIsland|Probe.SNP.based.on.1000.Genome|SNP|CHR.SNP|bp.SNP|ALLELE|BSGS.P|BSGS.EFFECT|BSGS.H2|LBC.P|LBC.EFFECT|LBC.R2|mQTL",10104,"b9d8bbfbafc3c574cea5fadea2f74bd6c5ba36960ebd8326f174b3cb47bccd41","git:isglobal-brge/methylclock@main:data/","EH6078",NA
"coefWu","coefWu","data.frame","112x8","CpGmarker|CoefficientTraining|GeneID|GenomeBuild|Chr|MapInfo|UGRepAcc|Symbol",4117,"4ac6365c05bf8182ddbd21945a6afa08580cdf693d23caef03baa4482834ec9a","git:isglobal-brge/methylclock@main:data/","EH6079",NA
"cpgs.bn","cpgs.bn","character","431","",1488,"2df06bf5c0b94c901e850e289ba9c0535aa84c2822c88cf29a0cbc69678b2f84","git:isglobal-brge/methylclock@main:data/","EH6068",NA
"MethylationDataExample55","MethylationDataExample55","spec_tbl_df","27578x17","ProbeID|GSM946048|GSM946049|GSM946052|GSM946054|GSM946055|GSM946056|GSM946059|GSM946062|GSM946064|GSM946065|GSM946066|GSM946067|GSM946073|GSM946074|GSM946075|GSM946076",3136244,"d8f91767d8e3a4e8d0e83191f181f2e6ee692a1ab75ff8da0677690d4b46f251","git:isglobal-brge/methylclock@main:data/","EH6080",NA
"probeAnnotation21kdatMethUsed","probeAnnotation21kdatMethUsed","data.frame","21368x7","Name|Gene_ID|GenomeBuild|Chr|MapInfo|SourceVersion|goldstandard2",455118,"359df6f13ad947edcc72e9bfa020c7d03e195be9e3c2000611881c867b7b5e5b","git:isglobal-brge/methylclock@main:data/","EH6081",NA
"progress_data","progress_data","spec_tbl_df","148x151","CpGmarker|784|1052|1048|1017|956|1038|989|946|941|1024|1047|1035|988|939|936|748|1031|903|864|874|898|1013|971|966|866|924|931|1007|954|958|1037|965|1008|1005|962|979|881|876|764|743|987|930|1023|928|910|897|1036|904|769|907|821|990|747|753|843|761|819|820|802|805|870|817|1040|815|952|974|951|929|980|911|927|914|841|912|969|754|1053|884|878|909|810|863|925|853|857|850|950|1027|948|970|831|813|1051|913|1015|1054|937|1006|940|827|791|991|839|818|828|774|845|797|998|767|1034|938|944|854|882|886|765|848|892|1050|957|984|993|961|975|920|814|812|923|880|906|875|785|890|949|999|1021|945|894|887|1010|972|978|1009|926|901|896|996|1022|943",166068,"1486d52d0fed58984115458621245ec27be6d9c61aa4eaac00944584f1802908","git:isglobal-brge/methylclock@main:data/",NA,NA
"progress_vars","progress_vars","tbl_df","150x3","id|birthweight|EGA",1296,"b1c222996f3869b1f7ec0cb701bf03db7c8700fece634092054f557002b10238","git:isglobal-brge/methylclock@main:data/",NA,NA
"references","andrews and bakulski cord blood","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","blood gse35069","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","blood gse35069 chen","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
